Comment;Designator
Conn_01x02_Female;J6,J1,J3,J4,J7,J8
1.5K;R5,R6,R4,R12,R11,R10
R_499;R20,R17,R16,R21
R_1K;R19,R18
Conn_01x03_Male;J15
CONN_02X03;J5
LP5907MFX-3_3_NOPB;U3
BS170;Q5,Q4,Q3,Q2,Q1,Q6
ATMEGA16M1;U1
Thermistor;TH4,TH6,TH5,TH3,TH2,TH1
115K;R15
133;R13
100;R3,R2,R1,R9,R8,R7
01530008Z;HFuse1
LED_0805;HFLED1,BLED1
SS110LW;FlySol2,FlySol1
LED_0805_Amber;D5
LED_0805_Red;D4
1uF;C4,C3,C2
D_Zener_13V;D3
Barrel_jack;J2
D_Shockley;D2,D1
20;R14
0.1uF;C1
OSTTC03;sol1,sol2
NMOS_CDS16;tres1sol1,tres1sol2
MM_F_RA_08;J9
TPS2592xx;U2
