"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6,J1,J3,J4,J7,J8";"nickle_pads_1x2";6;"Conn_01x02_Female";;;
2;"R5,R6,R4,R12,R11,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"1.5K";;;
3;"R20,R17,R16,R21";"R_0805_OEM";4;"R_499";;;
4;"R19,R18";"R_0805_OEM";2;"R_1K";;;
5;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
6;"J5";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
7;"U3";"SOT-753";1;"LP5907MFX-3_3_NOPB";;;
8;"Q5,Q4,Q3,Q2,Q1,Q6";"TO-92_Inline";6;"BS170";;;
9;"U1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA16M1";;;
10;"TH4,TH6,TH5,TH3,TH2,TH1";"Thermistor";6;"Thermistor";;;
11;"R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"115K";;;
12;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"133";;;
13;"R3,R2,R1,R9,R8,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100";;;
14;"HFuse1";"01530008Z";1;"01530008Z";;;
15;"HFLED1,BLED1";"LED_0805_OEM";2;"LED_0805";;;
16;"FlySol2,FlySol1";"D_SOD-123W_OEM";2;"SS110LW";;;
17;"D5";"LED_0805_OEM";1;"LED_0805_Amber";;;
18;"D4";"LED_0805_OEM";1;"LED_0805_Red";;;
19;"C4,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
20;"D3";"D_13V_Zener";1;"D_Zener_13V";;;
21;"J2";"barrel_jack_PJ-037A";1;"Barrel_jack";;;
22;"D2,D1";"SD103AW-13-F";2;"D_Shockley";;;
23;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"20";;;
24;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uF";;;
25;"sol1,sol2";"OSTTC030162";2;"OSTTC03";;;
26;"tres1sol1,tres1sol2";"TRANS_CSD17312Q5";2;"NMOS_CDS16";;;
27;"J9";"micromatch_female_ra_8";1;"MM_F_RA_08";;;
28;"U2";"VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias";1;"TPS2592xx";;;
